         16155665 function calls (14811753 primitive calls) in 120.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.002    0.000    0.562    0.070 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/_overpass.py:372(_download_overpass_features)
        7    0.000    0.000    0.557    0.080 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/io/file.py:617(_to_file_fiona)
      140    0.016    0.000    0.556    0.004 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/base.py:430(buffer)
        4    0.001    0.000    0.534    0.134 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/_overpass.py:233(_make_overpass_polygon_coord_strs)
   178272    0.100    0.000    0.533    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cherrypy/process/plugins.py:659(_make_absolute)
        8    0.000    0.000    0.531    0.066 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/projection.py:29(project_geometry)
        5    0.024    0.005    0.508    0.102 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:567(from_features)
        8    0.000    0.000    0.476    0.059 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/projection.py:65(project_gdf)
      325    0.002    0.000    0.446    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/generic.py:4142(_take_with_is_copy)
      330    0.004    0.000    0.444    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/generic.py:4027(take)
     1212    0.012    0.000    0.434    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:4062(__getitem__)
   178353    0.193    0.000    0.431    0.000 <frozen posixpath>:60(isabs)
        4    0.000    0.000    0.429    0.107 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:1415(estimate_utm_crs)
        4    0.000    0.000    0.429    0.107 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geoseries.py:1178(estimate_utm_crs)
        4    0.414    0.104    0.429    0.107 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/array.py:875(estimate_utm_crs)
      391    0.017    0.000    0.417    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
      330    0.003    0.000    0.412    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/internals/managers.py:869(take)
        7    0.060    0.009    0.371    0.053 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/collection.py:552(writerecords)
     8187    0.026    0.000    0.363    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
        1    0.000    0.000    0.356    0.356 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/read_data/building_extractor.py:74(run)
        1    0.000    0.000    0.356    0.356 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/height.py:20(run)
        1    0.000    0.000    0.355    0.355 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/read_data/building_extractor.py:67(_save_buildings)
